Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
3003,車糖　上白糖,391,0,0,0,99.3,0
3004,車糖　三温糖,390,Tr,0,0,99,0
3005,ざらめ糖　グラニュー糖,394,0,0,0,100,0
3006,ざらめ糖　白ざら糖,393,0,0,0,100,0
3007,ざらめ糖　中ざら糖,393,0,0,0,100,0
3008,加工糖　角砂糖,394,0,0,0,100,0
3009,加工糖　氷砂糖,394,0,0,0,100,0
3010,加工糖　コーヒーシュガー,394,0.1,0,0,99.8,0
3011,加工糖　粉糖,393,0,0,0,99.7,0
3012,液糖　しょ糖型液糖,267,0,0,0,67.9,0
3013,液糖　転化型液糖,294,0,0,0,76.6,0
3014,氷糖みつ,274,0.2,0,0,68.2,0
3031,還元麦芽糖,208,0,Tr,0.3,100,0
3032,還元水あめ,210,0,Tr,14,69.9,0
3015,粉あめ,397,0,0,0,97,0
3024,水あめ　酵素糖化,342,0,0,0,85,0
3025,水あめ　酸糖化,341,0,0,0,85,0
3017,ぶどう糖　全糖,342,0,0,0,91,0
3018,ぶどう糖　含水結晶,342,0,0,0,91.3,0
3019,ぶどう糖　無水結晶,374,0,0,0,99.7,0
3020,果糖,375,0,0,0,99.9,0
3026,異性化液糖　ぶどう糖果糖液糖,283,0,0,0,75,0
3027,異性化液糖　果糖ぶどう糖液糖,283,0,0,0,75,0
3028,異性化液糖　高果糖液糖,282,0,0,0,75,0
3029,黒蜜,199,1,0,0,50.5,0
3022,はちみつ,329,0.3,Tr,0,81.9,0
3023,メープルシロップ,266,0.1,0,0,66.3,0
4001,あずき　全粒　乾,304,20.8,2,24.8,59.6,0
4002,あずき　全粒　ゆで,124,8.6,0.8,8.7,25.6,0
4003,あずき　ゆで小豆缶詰,202,4.4,0.4,3.4,49.2,0.2
4004,あずき　あん　こし生あん,147,9.8,0.6,6.8,27.1,0
4005,あずき　あん　さらしあん　（乾燥あん）,335,23.5,1,26.8,66.8,0
4101,あずき　あん　こし練りあん　（並あん）,255,-5.6,-0.3,-3.9,-58.8,0
4102,あずき　あん　こし練りあん　（中割りあん）,262,-5.1,-0.3,-3.5,-61.1,0
4103,あずき　あん　こし練りあん　（もなかあん）,292,-5.1,-0.3,-3.5,-68.6,0
4006,あずき　あん　つぶし練りあん,239,5.6,0.6,5.7,54,0.1
4007,いんげんまめ　全粒　乾,280,22.1,2.5,19.6,56.4,0
